iter	RMSE
274	0.3058648272
275	0.3057602584
276	0.3056408829
277	0.305419978
278	0.3052737028
279	0.3050469087
280	0.3049433414
281	0.304848121
282	0.3048218193
283	0.3046724092
284	0.3045183612
285	0.3044145583
286	0.3042740104
287	0.3040990386
288	0.3038887632
289	0.3037830288
290	0.3035675056
291	0.3034125347
292	0.3032049584
293	0.3030055133
294	0.3028998085
295	0.3026678112
296	0.3025572552
297	0.3023264265
298	0.3021457979
299	0.3018255659
300	0.3017322007
301	0.3015704927
302	0.301416547
303	0.3012065978
304	0.3010407758
305	0.3009504702
306	0.3007352862
307	0.3006151462
308	0.3004460838
309	0.3003612546
310	0.3003173118
311	0.3001528143
312	0.3000061974
313	0.2998859025
314	0.2996924715
315	0.2995163107
316	0.2993744201
317	0.2991602094
318	0.2989452748
319	0.2988436557
320	0.2986546332
321	0.2983861645
322	0.2982452909
323	0.2980028719
324	0.2979032551
325	0.2976613042
326	0.2975311052
327	0.2973352054
328	0.2972402369
329	0.2971241112
330	0.296975912
331	0.2968476354
332	0.2967342871
333	0.2966141251
334	0.2963932847
335	0.2961840609
336	0.2959684326
337	0.2957963176
338	0.2956713862
339	0.2955451912
340	0.2953440933
341	0.2950600618
342	0.2949689097
343	0.2947490265
344	0.2946190356
345	0.2944798376
346	0.2941904905
347	0.2941185104
348	0.2939964664
349	0.2937909043
350	0.2935842227
351	0.2934188048
352	0.2932983428
353	0.2931831241
354	0.293068733
355	0.2929331529
356	0.2926961754
357	0.2925908793
358	0.2924386517
359	0.2922694937
360	0.2920747567
361	0.2918909023
362	0.2917043642
363	0.2914946199
364	0.2913654932
365	0.2911852683
366	0.291062006
367	0.2909657037
368	0.2908396059
369	0.2906831483
370	0.2904677906
371	0.2902390152
372	0.2900599688
373	0.2899380847
374	0.2898502192
375	0.2897410593
376	0.2896504751
377	0.2895176669
378	0.2893670504
379	0.2891174267
380	0.2889417211
381	0.2887900711
382	0.2884700367
383	0.2882849401
384	0.2881126363
385	0.2879554477
386	0.2877269272
387	0.2876049922
388	0.287391073
389	0.2872600293
390	0.2871203792
391	0.2868666411
392	0.2866820283
393	0.286440978
394	0.2863593232
395	0.286183832
396	0.2859794259
397	0.2859036318
398	0.285764948
399	0.2855532162
400	0.2854956556
401	0.2853486183
402	0.2851471501
403	0.2850526001
404	0.2848805178
405	0.2847766811
406	0.2846627597
407	0.2844739001
408	0.2843008825
409	0.2840289793
410	0.2839124411
411	0.2837718844
412	0.2836719798
413	0.2835496191
414	0.2833925208
415	0.2833107903
416	0.2832365284
417	0.2830960899
418	0.2829581927
419	0.2828739992
420	0.2827530752
421	0.2826786123
422	0.2824524756
423	0.2823247662
424	0.2822270193
425	0.2820817731
426	0.2819476269
427	0.2818137199
428	0.2815593446
429	0.2814098458
430	0.2812450481
431	0.2811216679
432	0.2809240573
433	0.2807476202
434	0.2805925377
435	0.2804769701
436	0.2803908165
437	0.2802540484
438	0.2801449698
439	0.2798893814
440	0.279729421
441	0.2794933711
442	0.2792495434
443	0.2791700761
444	0.2790630901
445	0.2789565365
446	0.2788118165
447	0.2787262605
448	0.2786179375
449	0.2784145037
450	0.2782732918
451	0.2781943348
452	0.2781005439
453	0.2779301698
454	0.2776503383
455	0.2774604994
456	0.2772954445
457	0.2772016426
458	0.2770086458
459	0.276927594
460	0.2766878845
461	0.2765389911
462	0.2763845821
463	0.2762735139
464	0.2761087753
465	0.2759906765
466	0.2758226563
467	0.2757031634
468	0.2755959766
469	0.2754767718
470	0.2753279626
471	0.2750932427
472	0.2749735978
473	0.2748794646
474	0.2747333013
475	0.2745429526
476	0.2744095115
477	0.2741691204
478	0.2740685961
479	0.2738966443
480	0.2737094965
481	0.2735463024
482	0.2733742372
483	0.2732355169
484	0.2730966124
485	0.272962985
486	0.2728298958
487	0.2727168546
488	0.2726286385
489	0.27247978
490	0.2724002452
491	0.2723214722
492	0.2721258127
493	0.2720516343
494	0.2718711589
495	0.2717648439
496	0.2716661903
497	0.2715304981
498	0.2714486465
499	0.2712998872
